x y class_id industrial_water_demand
     52.0417     18.9583  171 3.56409e+07
    -71.9583      18.625   56 1.94647e+08
      97.375     18.5417  215 2.82896e+09
    -64.5417     18.4583  224      455643
    -74.4583      18.375   95 4.02189e+06
    -67.2917      18.375  178 2.31068e+08
     -78.375     18.2083  118 1.58995e+07
    -63.0417     18.2083   10     40683.6
     -63.125     18.0417  234      200777
     -64.875     17.7083  225 6.47746e+06
    -62.7917     17.2083  129      103575
     -61.875     17.0417    9      238474
     -25.375     16.9583   64           0
    -62.2083     16.7083  144     16741.6
    -61.7917     16.0417   77 3.60525e+10
    -89.2083     15.9583   35 1.33143e+07
    -61.4583     15.4583   53     93913.5
     42.0417     15.2083  226 4.84517e+07
     36.4583     15.0417   54 7.88891e+06
    -17.4583     14.7083  218  6.3823e+07
    -92.2917     14.5417   93 2.95022e+08
    -12.2083     14.5417  145 2.48045e+07
    -89.2917     14.4583   86 1.18932e+08
    0.208333     14.4583  153 2.20862e+07
     13.5417      14.125  207 8.93809e+06
     145.125      14.125  142           0
    -61.0417     13.7917  110      230777
     -90.125     13.7083  199 5.76036e+07
     102.375     13.2917  126 1.74703e+07
    -16.7917     13.2083   89      702624
     144.708     13.2083   94           0
     -59.625      13.125   20      436724
     -87.625      12.875  156 3.23466e+08
      21.875     12.7917  188 3.56941e+08
    -81.7083     12.5417   49 1.59295e+09
    -70.0417     12.5417   17 2.16429e+06
    -61.4583     12.4583  251     88033.9
     -69.125     12.2917  233 9.07411e+06
    -16.5417     12.2917   96     16707.8
     -68.375     12.2083  232  1.0658e+06
    -61.7917     12.0417   70     76951.5
     165.542      11.625  137           0
     41.7917     11.4583   59 4.80317e+06
      -0.125      11.125  214  2.4599e+07
    -15.0417      10.875   90 2.22016e+07
    -5.45833      10.375   22  1.7519e+06
    0.791667      10.375   28 2.09968e+07
    -109.208     10.2917   47           0
    -61.7917      10.125  192 1.18004e+08
      27.875     9.70833  255           0
     138.125     9.54167   75           0
    -73.2917     9.20833  257 1.38796e+09
    -13.2917     8.45833  209 1.88979e+07
     24.2083       8.375  196 4.00731e+06
    -82.9583     8.20833  162 2.76835e+08
     2.70833       7.875  155  1.0911e+09
     33.0417       7.875   79 1.72498e+08
     116.958       7.875  168 7.86571e+09
     79.7083     7.45833  112 2.50925e+08
     134.375     7.20833  181           0
     -11.375     6.70833  114     6876.95
    -8.54167     6.54167   43 1.31792e+08
      99.625     6.54167  136 3.91266e+09
    -3.20833     6.45833   73 2.15803e+08
     14.4583     6.04167   40 8.32367e+06
     -61.375     5.95833   83     85153.7
     95.0417     5.70833   98 3.39521e+09
    -87.0417     5.54167   48 2.62518e+08
     34.4583       4.625  245           0
     8.54167     4.54167   50 6.47146e+07
     114.208     4.54167   24 1.91706e+08
    -57.9583     3.95833  191 3.07748e+07
    -159.375       3.875    2           0
     72.9583     3.79167  133           0
     103.708       1.375  219 5.15866e+07
     6.54167       0.125  197     43570.4
     -91.625      -0.375   58 3.11078e+08
     8.79167   -0.791667   78  1.3383e+07
     41.0417      -0.875  190           0
     33.9583   -0.958333  120 1.44667e+08
      29.625      -1.375  222 9.86941e+07
       5.625    -1.45833   91 1.06198e+07
      28.875    -2.54167  187 2.21226e+07
     29.0417    -2.79167   27 1.31895e+06
     11.2083    -4.04167   41 1.41777e+07
     -81.375    -4.79167  166 8.03033e+08
      29.375    -4.95833  205 4.33841e+07
     12.2083      -5.875   46 9.17806e+07
     140.875    -6.79167  167 2.41653e+07
     155.542      -7.375  185 2.79003e+06
    -73.9583    -7.54167   31  1.2125e+10
     -14.375    -7.95833  220           0
     46.2917      -9.375  186           0
     124.125      -9.375  202 3.98323e+06
     43.2083    -11.7917  128     37375.9
    -172.792    -13.5417  238           0
     32.7083     -13.625  134  4.4248e+07
    -178.125    -14.2917  237           0
    -170.708    -14.2917   13           0
    -148.625     -14.875 1257           0
     166.542     -14.875  236     37688.4
     30.2917    -15.2083  160 1.53065e+07
    -175.625     -15.625  216           0
     22.0417    -16.2083  229 1.95783e+08
    -152.292    -16.4583    1           0
    -179.958     -16.875   81  7.0401e+06
     11.7083    -17.2083    5 4.75588e+07
    -69.5417    -17.2917   30 1.19961e+08
     11.7083     -17.875  161 1.35144e+07
     25.2917    -17.9583  231 1.18844e+08
     162.958    -18.0417  152           0
    -169.875     -19.125  165           0
      57.375    -20.4583  149     3512.06
    -159.792    -21.2083   44           0
     -62.625    -22.2917  182 2.77918e+08
     43.2083    -22.5417  151           0
     20.0417    -24.7917   33 3.55067e+07
     112.958     -25.625   15 4.10689e+08
      30.875    -26.7917  203 2.34548e+07
    -109.375     -27.125   45   1.432e+09
     16.4583     -28.625  227 2.07113e+09
     167.958     -29.125  154           0
     27.0417     -29.625  116 8.59333e+06
    -58.4583    -33.7083  235 1.39766e+08
    -176.792    -43.7917  170 3.09893e+08
     50.2083     -46.125  213           0
    -73.5417    -50.2917    7  9.0991e+09
    -61.2917    -51.7083   82           0
      73.375    -53.0417   85           0
     -37.875    -54.0417   92           0
    -179.958     -89.875    6           0
